IP:139951292045331		 Register Value: %d2147483614
IP:139951292045336		 Register Value: %d917822816
IP:139951292045336		 Register Value: %d0
IP:139951292045341		 Register Value: %d917822816
IP:139951292045341		 Register Value: %d33
IP:139951292045419		 Register Value: %d917822816
IP:139951292045419		 Register Value: %d917823040
IP:139951292045429Memory Add: 140721226308968		 Immediate Value: 8
IP:139951292045437Memory Add: 140721226308972		 Immediate Value: 48
IP:139951292045445		 Register Value: %d917822816
IP:139951292045445		 Register Value: %d917822848
IP:139951292010894		 Register Value: %d917822800
IP:139951292010973		 Register Value: %d917822800
IP:139951292010982		 Register Value: %d917822800
IP:139951292010982		 Register Value: %d8
IP:139951292010993		 Register Value: %d917822800
IP:139951292010993		 Register Value: %d917823040
IP:139951292011004		 Register Value: %d917822800
IP:139951292011004		 Register Value: %d917822848
IP:139951292011025		 Register Value: %d917822800
IP:139951292011025		 Register Value: %d4196295
IP:139951292011191		 Register Value: %d917822800
IP:139951292011191		 Register Value: %d-213694944
IP:139951292011198		 Register Value: %d917822800
IP:139951292011198		 Register Value: %d-217205632
IP:139951292011285		 Register Value: %d-213690496
IP:139951292011285		 Register Value: %d-218208512
IP:139951292011063		 Register Value: %d917822800
IP:139951292011063		 Register Value: %d9
IP:139951292278798		 Register Value: %d24257121
IP:139951292278850		 Register Value: %d24257122
IP:139951292278850		 Register Value: %d543521385
IP:139951292191298		 Register Value: %d-213694944
IP:139951292191298		 Register Value: %d24257130
IP:139951292011786Memory Add: 140721226307752		 Immediate Value: 0
IP:139951292011796Memory Add: 140721226307724		 Immediate Value: 0
IP:139951292011806Memory Add: 140721226307744		 Immediate Value: 4294967295
IP:139951292011817Memory Add: 140721226307736		 Immediate Value: 0
IP:139951292011828		 Register Value: %d917822800
IP:139951292011828		 Register Value: %d917821744
IP:139951292011848		 Register Value: %d917822800
IP:139951292011848		 Register Value: %d917821624
IP:139951292011862		 Register Value: %d917822800
IP:139951292011862		 Register Value: %d917821664
IP:139951292011876		 Register Value: %d917822800
IP:139951292011876		 Register Value: %d917821648
IP:139951292011890		 Register Value: %d917822800
IP:139951292011890		 Register Value: %d917821640
IP:139951292011901		 Register Value: %d917822800
IP:139951292011901		 Register Value: %d4196296
IP:139951292011962Memory Add: 140721226307640		 Immediate Value: 32
IP:139951292011969Memory Add: 140721226307592		 Immediate Value: 0
IP:139951292011979Memory Add: 140721226307704		 Immediate Value: 4294967295
IP:139951292011989Memory Add: 140721226307712		 Immediate Value: 0
IP:139951292012012Memory Add: 140721226307616		 Immediate Value: 0
IP:139951292012022Memory Add: 140721226307696		 Immediate Value: 0
IP:139951292012032Memory Add: 140721226307632		 Immediate Value: 0
IP:139951292012042Memory Add: 140721226307680		 Immediate Value: 0
IP:139951292012052Memory Add: 140721226307600		 Immediate Value: 0
IP:139951292012069Memory Add: 140721226307648		 Immediate Value: 0
IP:139951292012079Memory Add: 140721226307672		 Immediate Value: 0
IP:139951292012089Memory Add: 140721226307656		 Immediate Value: 0
IP:139951292012099Memory Add: 140721226307720		 Immediate Value: 0
IP:139951292012109		 Register Value: %d917822800
IP:139951292012109		 Register Value: %d917822744
IP:139951292016674		 Register Value: %d917822824
IP:139951292013436		 Register Value: %d917822800
IP:139951292013436		 Register Value: %d0
IP:139951292013449		 Register Value: %d917822800
IP:139951292013449		 Register Value: %d4
IP:139951292013456Memory Add: 140721226307680		 Immediate Value: 10
IP:139951292015077Memory Add: 140721226307704		 Immediate Value: 1
IP:139951292014864		 Register Value: %d917822800
IP:139951292014864		 Register Value: %d0
IP:139951292014874		 Register Value: %d917822800
IP:139951292014881		 Register Value: %d917822800
IP:139951292000115		 Register Value: %d917822743
IP:139951292014900		 Register Value: %d917822800
IP:139951292014900		 Register Value: %d917822743
IP:139951292015045		 Register Value: %d917822800
IP:139951292016822		 Register Value: %d917822800
IP:139951292013589		 Register Value: %d917822800
IP:139951292013589		 Register Value: %d1
IP:139951292013615		 Register Value: %d917822800
IP:139951292013615		 Register Value: %d0
IP:139951292013622		 Register Value: %d917822800
IP:139951292013651		 Register Value: %d917822800
IP:139951292015819Memory Add: 140721226307712		 Immediate Value: 0
IP:139951292014046		 Register Value: %d917822800
IP:139951292014046		 Register Value: %d0
IP:139951292014063		 Register Value: %d917822800
IP:139951292278798		 Register Value: %d24257130
IP:139951292191298		 Register Value: %d-213694944
IP:139951292191298		 Register Value: %d24257131
IP:139951292012746		 Register Value: %d917822800
IP:139951292012760		 Register Value: %d917822800
IP:139951292012760		 Register Value: %d4196297
IP:139951292012767		 Register Value: %d917822800
IP:139951292012767		 Register Value: %d4196297
IP:139951292012786		 Register Value: %d917822800
IP:139951292012786		 Register Value: %d4196297
IP:139951292012815		 Register Value: %d917822800
IP:139951292012815		 Register Value: %d4196297
IP:139951292012832		 Register Value: %d917822800
IP:139951292011328Memory Add: 139951295649672		 Immediate Value: 0
IP:139951292045321		 Register Value: %d917822816
IP:139951292045321		 Register Value: %d917823060
IP:139951292045326		 Register Value: %d917822816
IP:139951292045326		 Register Value: %d-213690496
IP:139951292045331		 Register Value: %d917822816
IP:139951292045331		 Register Value: %d2147483637
IP:139951292045336		 Register Value: %d917822816
IP:139951292045336		 Register Value: %d0
IP:139951292045341		 Register Value: %d917822816
IP:139951292045341		 Register Value: %d10
IP:139951292045419		 Register Value: %d917822816
IP:139951292045419		 Register Value: %d917823040
IP:139951292045429Memory Add: 140721226308968		 Immediate Value: 8
IP:139951292045437Memory Add: 140721226308972		 Immediate Value: 48
IP:139951292045445		 Register Value: %d917822816
IP:139951292045445		 Register Value: %d917822848
IP:139951292010894		 Register Value: %d917822800
IP:139951292010973		 Register Value: %d917822800
IP:139951292010982		 Register Value: %d917822800
IP:139951292010982		 Register Value: %d8
IP:139951292010993		 Register Value: %d917822800
IP:139951292010993		 Register Value: %d917823040
IP:139951292011004		 Register Value: %d917822800
IP:139951292011004		 Register Value: %d917822848
IP:139951292011025		 Register Value: %d917822800
IP:139951292011025		 Register Value: %d4196318
IP:139951292011191		 Register Value: %d917822800
IP:139951292011191		 Register Value: %d-213694944
IP:139951292011198		 Register Value: %d917822800
IP:139951292011198		 Register Value: %d-217205632
IP:139951292011285		 Register Value: %d-213690496
IP:139951292011285		 Register Value: %d-218208512
IP:139951292011063		 Register Value: %d917822800
IP:139951292011063		 Register Value: %d20
IP:139951292278832		 Register Value: %d24257131
IP:139951292278887		 Register Value: %d24257135
IP:139951292278887		 Register Value: %d544437093
IP:139951292278890		 Register Value: %d24257135
IP:139951292278890		 Register Value: %d1869375008
IP:139951292191298		 Register Value: %d-213694944
IP:139951292191298		 Register Value: %d24257151
IP:139951292011786Memory Add: 140721226307752		 Immediate Value: 0
IP:139951292011796Memory Add: 140721226307724		 Immediate Value: 0
IP:139951292011806Memory Add: 140721226307744		 Immediate Value: 4294967295
IP:139951292011817Memory Add: 140721226307736		 Immediate Value: 0
IP:139951292011828		 Register Value: %d917822800
IP:139951292011828		 Register Value: %d917821744
IP:139951292011848		 Register Value: %d917822800
IP:139951292011848		 Register Value: %d917821624
IP:139951292011862		 Register Value: %d917822800
IP:139951292011862		 Register Value: %d917821664
IP:139951292011876		 Register Value: %d917822800
IP:139951292011876		 Register Value: %d917821648
IP:139951292011890		 Register Value: %d917822800
IP:139951292011890		 Register Value: %d917821640
IP:139951292011901		 Register Value: %d917822800
IP:139951292011901		 Register Value: %d4196319
IP:139951292011962Memory Add: 140721226307640		 Immediate Value: 32
IP:139951292011969Memory Add: 140721226307592		 Immediate Value: 0
IP:139951292011979Memory Add: 140721226307704		 Immediate Value: 4294967295
IP:139951292011989Memory Add: 140721226307712		 Immediate Value: 0
IP:139951292012012Memory Add: 140721226307616		 Immediate Value: 0
IP:139951292012022Memory Add: 140721226307696		 Immediate Value: 0
IP:139951292012032Memory Add: 140721226307632		 Immediate Value: 0
IP:139951292012042Memory Add: 140721226307680		 Immediate Value: 0
IP:139951292012052Memory Add: 140721226307600		 Immediate Value: 0
IP:139951292012069Memory Add: 140721226307648		 Immediate Value: 0
IP:139951292012079Memory Add: 140721226307672		 Immediate Value: 0
IP:139951292012089Memory Add: 140721226307656		 Immediate Value: 0
IP:139951292012099Memory Add: 140721226307720		 Immediate Value: 0
IP:139951292012109		 Register Value: %d917822800
IP:139951292012109		 Register Value: %d917822744
IP:139951292013065		 Register Value: %d917822800
IP:139951292013065		 Register Value: %d4196320
IP:139951292013126Memory Add: 140721226307696		 Immediate Value: 1
IP:139951292013419		 Register Value: %d917822824
IP:139951292013436		 Register Value: %d917822800
IP:139951292013436		 Register Value: %d0
IP:139951292013449		 Register Value: %d917822800
IP:139951292013449		 Register Value: %d917823060
IP:139951292013456Memory Add: 140721226307680		 Immediate Value: 10
IP:139951292015077Memory Add: 140721226307704		 Immediate Value: 1
IP:139951292014864		 Register Value: %d917822800
IP:139951292014864		 Register Value: %d0
IP:139951292014874		 Register Value: %d917822800
IP:139951292014881		 Register Value: %d917822800
IP:139951292000115		 Register Value: %d917822743
IP:139951292000115		 Register Value: %d917822742
IP:139951292000115		 Register Value: %d917822741
IP:139951292000115		 Register Value: %d917822740
IP:139951292000115		 Register Value: %d917822739
IP:139951292000115		 Register Value: %d917822738
IP:139951292000115		 Register Value: %d917822737
IP:139951292000115		 Register Value: %d917822736
IP:139951292000115		 Register Value: %d917822735
IP:139951292000115		 Register Value: %d917822734
IP:139951292000115		 Register Value: %d917822733
IP:139951292000115		 Register Value: %d917822732
IP:139951292000115		 Register Value: %d917822731
IP:139951292000115		 Register Value: %d917822730
IP:139951292000115		 Register Value: %d917822729
IP:139951292014900		 Register Value: %d917822800
IP:139951292014900		 Register Value: %d917822729
IP:139951292015045		 Register Value: %d917822800
IP:139951292016822		 Register Value: %d917822800
IP:139951292013589		 Register Value: %d917822800
IP:139951292013589		 Register Value: %d15
IP:139951292013615		 Register Value: %d917822800
IP:139951292013615		 Register Value: %d0
IP:139951292013622		 Register Value: %d917822800
IP:139951292013651		 Register Value: %d917822800
IP:139951292015819Memory Add: 140721226307712		 Immediate Value: 0
IP:139951292014046		 Register Value: %d917822800
IP:139951292014046		 Register Value: %d0
IP:139951292014063		 Register Value: %d917822800
IP:139951292278798		 Register Value: %d24257151
IP:139951292278814		 Register Value: %d24257152
IP:139951292278832		 Register Value: %d24257154
IP:139951292278850		 Register Value: %d24257158
IP:139951292278850		 Register Value: %d808662578
IP:139951292191298		 Register Value: %d-213694944
IP:139951292191298		 Register Value: %d24257166
IP:139951292012746		 Register Value: %d917822800
IP:139951292012760		 Register Value: %d917822800
IP:139951292012760		 Register Value: %d4196321
IP:139951292012767		 Register Value: %d917822800
IP:139951292012767		 Register Value: %d4196321
IP:139951292012786		 Register Value: %d917822800
IP:139951292012786		 Register Value: %d4196321
IP:139951292012815		 Register Value: %d917822800
IP:139951292012815		 Register Value: %d4196321
IP:139951292012832		 Register Value: %d917822800
IP:139951292011328Memory Add: 139951295649672		 Immediate Value: 0
IP:4195913		 Register Value: %d917823088
IP:139951292045321		 Register Value: %d917822816
IP:139951292045321		 Register Value: %d4
IP:139951292045326		 Register Value: %d917822816
IP:139951292045326		 Register Value: %d-213690496
IP:139951292045331		 Register Value: %d917822816
IP:139951292045331		 Register Value: %d2147483612
IP:139951292045336		 Register Value: %d917822816
IP:139951292045336		 Register Value: %d0
IP:139951292045341		 Register Value: %d917822816
IP:139951292045341		 Register Value: %d35
IP:139951292045419		 Register Value: %d917822816
IP:139951292045419		 Register Value: %d917823040
IP:139951292045429Memory Add: 140721226308968		 Immediate Value: 8
IP:139951292045437Memory Add: 140721226308972		 Immediate Value: 48
IP:139951292045445		 Register Value: %d917822816
IP:139951292045445		 Register Value: %d917822848
IP:139951292010894		 Register Value: %d917822800
IP:139951292010973		 Register Value: %d917822800
IP:139951292010982		 Register Value: %d917822800
IP:139951292010982		 Register Value: %d8
IP:139951292010993		 Register Value: %d917822800
IP:139951292010993		 Register Value: %d917823040
IP:139951292011004		 Register Value: %d917822800
IP:139951292011004		 Register Value: %d917822848
IP:139951292011025		 Register Value: %d917822800
IP:139951292011025		 Register Value: %d4196333
IP:139951292011191		 Register Value: %d917822800
IP:139951292011191		 Register Value: %d-213694944
IP:139951292011198		 Register Value: %d917822800
IP:139951292011198		 Register Value: %d-217205632
IP:139951292011285		 Register Value: %d-213690496
IP:139951292011285		 Register Value: %d-218208512
IP:139951292011063		 Register Value: %d917822800
IP:139951292011063		 Register Value: %d11
IP:139951292278798		 Register Value: %d24257166
IP:139951292278814		 Register Value: %d24257167
IP:139951292278850		 Register Value: %d24257169
IP:139951292278850		 Register Value: %d1818632293
IP:139951292191298		 Register Value: %d-213694944
IP:139951292191298		 Register Value: %d24257177
IP:139951292011786Memory Add: 140721226307752		 Immediate Value: 0
IP:139951292011796Memory Add: 140721226307724		 Immediate Value: 0
IP:139951292011806Memory Add: 140721226307744		 Immediate Value: 4294967295
IP:139951292011817Memory Add: 140721226307736		 Immediate Value: 0
IP:139951292011828		 Register Value: %d917822800
IP:139951292011828		 Register Value: %d917821744
IP:139951292011848		 Register Value: %d917822800
IP:139951292011848		 Register Value: %d917821624
